@relation films

@attribute ID numeric
@attribute budget numeric
@attribute genre1 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre2 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre3 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre4 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre5 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre6 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre7 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute popularity numeric
@attribute releasedate date "yyyy-MM-dd"
@attribute revenue numeric
@attribute title string
@attribute voteaverage numeric
@attribute votecount numeric

@data

481,185000000.00,"Action","Crime","Drama","Thriller","","","",10.12,"2008-07-18",1001921825.00,"The Dark Knight",7.70,4698
37600,100000000.00,"Drama","Western","","","","","",8.89,"2012-12-25",424032081.00,"Django Unchained",7.20,4199
22521,250000000.00,"Action","Crime","Drama","Thriller","","","",9.65,"2012-07-20",1081041287.00,"The Dark Knight Rises",7.20,4058
842,63000000.00,"Action","Adventure","Science","Fiction","Thriller","","",10.58,"1999-03-30",463517383.00,"The Matrix",7.40,3687
449,93000000.00,"Action","Adventure","Fantasy","","","","",11.87,"2001-12-19",871368364.00,"The Lord of the Rings: The Fellowship of the Ring",7.40,3407
451,94000000.00,"Action","Adventure","Fantasy","","","","",12.60,"2003-12-17",1118888979.00,"The Lord of the Rings: The Return of the King",7.50,3204
595,25000000.00,"Crime","Drama","","","","","",7.71,"1994-09-14",28341469.00,"The Shawshank Redemption",8.00,3202
793,63000000.00,"Action","Drama","Thriller","","","","",5.73,"1999-10-14",100853753.00,"Fight Club",7.60,2850
450,79000000.00,"Action","Adventure","Fantasy","","","","",8.03,"2002-12-18",926287400.00,"The Lord of the Rings: The Two Towers",7.40,2778
915,8000000.00,"Crime","Thriller","","","","","",4.89,"1994-10-14",213928762.00,"Pulp Fiction",7.50,2584
6452,180000000.00,"Animation","Family","","","","","",8.28,"2008-06-22",521311860.00,"WALL·E",7.20,2218
8552,150000000.00,"Action","Adventure","Science","Fiction","","","",8.60,"2009-05-07",385680446.00,"Star Trek",7.20,2050
370,55000000.00,"Comedy","Drama","Romance","","","","",6.63,"1994-06-22",679400000.00,"Forrest Gump",7.50,2048
368,11000000.00,"Action","Adventure","Science","Fiction","","","",7.11,"1977-05-25",775398007.00,"Star Wars: Episode IV - A New Hope",7.50,2028
4619,45000000.00,"Animation","Family","","","","","",7.24,"1994-06-23",788241776.00,"The Lion King",7.20,2020
557,6000000.00,"Crime","Drama","","","","","",5.35,"1972-03-15",245066411.00,"The Godfather",8.00,1999
428,103000000.00,"Action","Adventure","Drama","","","","",6.13,"2000-05-01",457640427.00,"Gladiator",7.20,1908
1627,18000000.00,"Action","Adventure","Science","Fiction","","","",5.48,"1980-05-21",538400000.00,"Star Wars: Episode V - The Empire Strikes Back",7.60,1827
435,19000000.00,"Adventure","Comedy","Science","Fiction","Family","","",5.52,"1985-07-03",381109762.00,"Back to the Future",7.30,1820
9092,175000000.00,"Adventure","Animation","Comedy","Family","","","",5.04,"2009-09-30",731342744.00,"Up",7.10,1810
7848,125000000.00,"Adventure","Fantasy","Family","","","","",7.56,"2011-07-07",1327817822.00,"Harry Potter and the Deathly Hallows: Part 2",7.20,1777
26516,185000000.00,"Action","Adventure","Science","Fiction","","","",7.78,"2013-05-16",467365246.00,"Star Trek Into Darkness",7.40,1733
1061,70000000.00,"Drama","History","War","","","","",3.70,"1998-07-24",481840909.00,"Saving Private Ryan",7.20,1674
1066,30000000.00,"Animation","Comedy","Family","","","","",7.57,"1995-11-21",361958736.00,"Toy Story",7.10,1630
5784,200000000.00,"Animation","Comedy","Family","","","","",5.60,"2010-06-17",1063171911.00,"Toy Story 3",7.20,1526
1011,33000000.00,"Crime","Mystery","Thriller","","","","",5.46,"1995-09-22",327311859.00,"Se7en",7.50,1474
1628,32350000.00,"Action","Adventure","Science","Fiction","","","",5.86,"1983-05-25",572700000.00,"Star Wars: Episode VI - Return of the Jedi",7.40,1465
415,20000000.00,"Action","Adventure","","","","","",5.63,"1981-06-12",383000000.00,"Raiders of the Lost Ark",7.10,1399
10945,70000000.00,"Action","Drama","Thriller","War","","","",4.57,"2009-08-21",319131050.00,"Inglourious Basterds",7.20,1374
656,11000000.00,"Action","Horror","Science","Fiction","Thriller","","",7.78,"1979-05-25",104931801.00,"Alien",7.10,1327
521,72000000.00,"Action","Drama","History","War","","","",5.18,"1995-05-24",210000000.00,"Braveheart",7.20,1209
956,54000000.00,"Action","Fantasy","Thriller","","","","",4.75,"2005-12-11",132511035.00,"V for Vendetta",7.20,1203
42749,75000000.00,"Crime","Thriller","","","","","",10.23,"2013-05-31",117698894.00,"Now You See Me",7.10,1120
419,48000000.00,"Action","Adventure","","","","","",4.81,"1989-05-24",474171806.00,"Indiana Jones and the Last Crusade",7.10,1097
697,22000000.00,"Drama","History","War","","","","",5.42,"1993-11-29",321265768.00,"Schindler's List",7.60,1082
437,10000000.00,"Crime","Thriller","","","","","",2.69,"2000-12-06",83557872.00,"Snatch",7.30,1051
1313,90000000.00,"Crime","Drama","Thriller","","","","",6.13,"2006-10-05",289847354.00,"The Departed",7.20,1046
559,13000000.00,"Crime","Drama","","","","","",4.04,"1974-12-20",47542841.00,"The Godfather: Part II",7.80,1006
431,16000000.00,"Crime","Drama","Thriller","","","","",3.73,"1994-09-14",45284974.00,"Leon: The Professional",7.60,1006
