@relation films

@attribute ID numeric
@attribute budget numeric
@attribute genre1 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre2 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre3 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre4 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre5 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre6 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre7 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute popularity numeric
@attribute releasedate date "yyyy-MM-dd"
@attribute revenue numeric
@attribute title string
@attribute voteaverage numeric
@attribute votecount numeric

@data

481,185000000.00,"Action","Crime","Drama","Thriller","","","",10.12,"2008-07-18",1001921825.00,"The Dark Knight",7.70,4698
37602,200000000.00,"Action","Adventure","Science","Fiction","","","",14.15,"2013-05-03",1198459803.00,"Iron Man 3",6.80,4469
38727,75000000.00,"Adventure","","","","","","",4.57,"2012-03-23",658010692.00,"The Hunger Games",6.30,4368
37600,100000000.00,"Drama","Western","","","","","",8.89,"2012-12-25",424032081.00,"Django Unchained",7.20,4199
22543,250000000.00,"Action","Adventure","Fantasy","","","","",12.94,"2012-12-14",1017003568.00,"The Hobbit: An Unexpected Journey",6.50,4070
22521,250000000.00,"Action","Crime","Drama","Thriller","","","",9.65,"2012-07-20",1081041287.00,"The Dark Knight Rises",7.20,4058
842,63000000.00,"Action","Adventure","Science","Fiction","Thriller","","",10.58,"1999-03-30",463517383.00,"The Matrix",7.40,3687
1518,140000000.00,"Action","Adventure","Science","Fiction","","","",13.81,"2008-05-01",585174222.00,"Iron Man",7.00,3646
449,93000000.00,"Action","Adventure","Fantasy","","","","",11.87,"2001-12-19",871368364.00,"The Lord of the Rings: The Fellowship of the Ring",7.40,3407
13277,69000000.00,"Animation","Family","","","","","",8.80,"2010-07-08",544513985.00,"Despicable Me",6.90,3308
451,94000000.00,"Action","Adventure","Fantasy","","","","",12.60,"2003-12-17",1118888979.00,"The Lord of the Rings: The Return of the King",7.50,3204
595,25000000.00,"Crime","Drama","","","","","",7.71,"1994-09-14",28341469.00,"The Shawshank Redemption",8.00,3202
5732,200000000.00,"Action","Adventure","Science","Fiction","","","",8.70,"2010-05-07",621752099.00,"Iron Man 2",6.50,2887
793,63000000.00,"Action","Drama","Thriller","","","","",5.73,"1999-10-14",100853753.00,"Fight Club",7.60,2850
1662,215000000.00,"Action","Adventure","Fantasy","","","","",11.07,"2012-07-04",752215857.00,"The Amazing Spider-Man",6.20,2809
450,79000000.00,"Action","Adventure","Fantasy","","","","",8.03,"2002-12-18",926287400.00,"The Lord of the Rings: The Two Towers",7.40,2778
1531,140000000.00,"Action","","","","","","",10.37,"2011-07-22",365762652.00,"Captain America: The First Avenger",6.20,2680
915,8000000.00,"Crime","Thriller","","","","","",4.89,"1994-10-14",213928762.00,"Pulp Fiction",7.50,2584
589,150000000.00,"Action","Crime","Drama","","","","",7.04,"2005-06-14",371853783.00,"Batman Begins",7.00,2504
22936,225000000.00,"Action","Adventure","Fantasy","Science","Fiction","","",9.97,"2013-06-14",662845518.00,"Man of Steel",6.50,2415
5785,150000000.00,"Action","Adventure","Fantasy","","","","",10.51,"2011-05-06",444115007.00,"Thor",6.20,2374
836,200000000.00,"Action","Disaster","Drama","Romance","","","",5.72,"1997-11-01",1845034188.00,"Titanic",6.80,2331
825,115000000.00,"Animation","Family","","","","","",4.66,"2001-11-01",558523378.00,"Monsters, Inc.",7.00,2305
9093,200000000.00,"Disaster","","","","","","",6.15,"2009-10-10",769653595.00,"2012",5.50,2303
21716,92000000.00,"Action","Thriller","","","","","",8.03,"2013-02-14",304654182.00,"A Good Day to Die Hard",5.20,2301
6452,180000000.00,"Animation","Family","","","","","",8.28,"2008-06-22",521311860.00,"WALL·E",7.20,2218
6305,90000000.00,"Action","Adventure","Comedy","Crime","Drama","Mystery","Thriller",8.20,"2009-12-25",524028679.00,"Sherlock Holmes",6.60,2207
22945,160000000.00,"Action","Adventure","Science","Fiction","","","",6.73,"2011-05-24",344420111.00,"X-Men: First Class",6.70,2130
906,125000000.00,"Adventure","Fantasy","Family","","","","",15.54,"2001-11-14",976475550.00,"Harry Potter and the Philosopher's Stone",6.70,2106
12159,35000000.00,"Comedy","","","","","","",4.73,"2009-06-05",459270619.00,"The Hangover",6.70,2106
30782,30000000.00,"Action","Science","Fiction","Thriller","","","",4.50,"2012-09-28",47042000.00,"Looper",6.20,2065
8552,150000000.00,"Action","Adventure","Science","Fiction","","","",8.60,"2009-05-07",385680446.00,"Star Trek",7.20,2050
370,55000000.00,"Comedy","Drama","Romance","","","","",6.63,"1994-06-22",679400000.00,"Forrest Gump",7.50,2048
379,140000000.00,"Action","Adventure","Fantasy","","","","",9.40,"2003-07-09",655011224.00,"Pirates of the Caribbean: The Curse of the Black Pearl",6.90,2036
368,11000000.00,"Action","Adventure","Science","Fiction","","","",7.11,"1977-05-25",775398007.00,"Star Wars: Episode IV - A New Hope",7.50,2028
37608,200000000.00,"Adventure","Fantasy","Family","","","","",6.60,"2013-03-08",491868548.00,"Oz: The Great and Powerful",5.50,2026
4619,45000000.00,"Animation","Family","","","","","",7.24,"1994-06-23",788241776.00,"The Lion King",7.20,2020
557,6000000.00,"Crime","Drama","","","","","",5.35,"1972-03-15",245066411.00,"The Godfather",8.00,1999
42721,120000000.00,"Action","Adventure","Mystery","Science","Fiction","","",8.38,"2013-04-18",286166958.00,"Oblivion",6.00,1975
