@relation films

@attribute ID numeric
@attribute budget numeric
@attribute genre1 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre2 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre3 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre4 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre5 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre6 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre7 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute popularity numeric
@attribute releasedate date "yyyy-MM-dd"
@attribute revenue numeric
@attribute title string
@attribute voteaverage numeric
@attribute votecount numeric

@data

481,185000000.00,"Action","Crime","Drama","Thriller","","","",10.12,"2008-07-18",1001921825.00,"The Dark Knight",7.70,4698
37602,200000000.00,"Action","Adventure","Science","Fiction","","","",14.15,"2013-05-03",1198459803.00,"Iron Man 3",6.80,4469
37600,100000000.00,"Drama","Western","","","","","",8.89,"2012-12-25",424032081.00,"Django Unchained",7.20,4199
22521,250000000.00,"Action","Crime","Drama","Thriller","","","",9.65,"2012-07-20",1081041287.00,"The Dark Knight Rises",7.20,4058
842,63000000.00,"Action","Adventure","Science","Fiction","Thriller","","",10.58,"1999-03-30",463517383.00,"The Matrix",7.40,3687
1518,140000000.00,"Action","Adventure","Science","Fiction","","","",13.81,"2008-05-01",585174222.00,"Iron Man",7.00,3646
449,93000000.00,"Action","Adventure","Fantasy","","","","",11.87,"2001-12-19",871368364.00,"The Lord of the Rings: The Fellowship of the Ring",7.40,3407
13277,69000000.00,"Animation","Family","","","","","",8.80,"2010-07-08",544513985.00,"Despicable Me",6.90,3308
451,94000000.00,"Action","Adventure","Fantasy","","","","",12.60,"2003-12-17",1118888979.00,"The Lord of the Rings: The Return of the King",7.50,3204
595,25000000.00,"Crime","Drama","","","","","",7.71,"1994-09-14",28341469.00,"The Shawshank Redemption",8.00,3202
793,63000000.00,"Action","Drama","Thriller","","","","",5.73,"1999-10-14",100853753.00,"Fight Club",7.60,2850
450,79000000.00,"Action","Adventure","Fantasy","","","","",8.03,"2002-12-18",926287400.00,"The Lord of the Rings: The Two Towers",7.40,2778
915,8000000.00,"Crime","Thriller","","","","","",4.89,"1994-10-14",213928762.00,"Pulp Fiction",7.50,2584
589,150000000.00,"Action","Crime","Drama","","","","",7.04,"2005-06-14",371853783.00,"Batman Begins",7.00,2504
836,200000000.00,"Action","Disaster","Drama","Romance","","","",5.72,"1997-11-01",1845034188.00,"Titanic",6.80,2331
825,115000000.00,"Animation","Family","","","","","",4.66,"2001-11-01",558523378.00,"Monsters, Inc.",7.00,2305
6452,180000000.00,"Animation","Family","","","","","",8.28,"2008-06-22",521311860.00,"WALL·E",7.20,2218
8552,150000000.00,"Action","Adventure","Science","Fiction","","","",8.60,"2009-05-07",385680446.00,"Star Trek",7.20,2050
370,55000000.00,"Comedy","Drama","Romance","","","","",6.63,"1994-06-22",679400000.00,"Forrest Gump",7.50,2048
379,140000000.00,"Action","Adventure","Fantasy","","","","",9.40,"2003-07-09",655011224.00,"Pirates of the Caribbean: The Curse of the Black Pearl",6.90,2036
368,11000000.00,"Action","Adventure","Science","Fiction","","","",7.11,"1977-05-25",775398007.00,"Star Wars: Episode IV - A New Hope",7.50,2028
4619,45000000.00,"Animation","Family","","","","","",7.24,"1994-06-23",788241776.00,"The Lion King",7.20,2020
557,6000000.00,"Crime","Drama","","","","","",5.35,"1972-03-15",245066411.00,"The Godfather",8.00,1999
428,103000000.00,"Action","Adventure","Drama","","","","",6.13,"2000-05-01",457640427.00,"Gladiator",7.20,1908
369,94000000.00,"Animation","Comedy","Family","","","","",6.60,"2003-05-30",864625978.00,"Finding Nemo",7.00,1841
1627,18000000.00,"Action","Adventure","Science","Fiction","","","",5.48,"1980-05-21",538400000.00,"Star Wars: Episode V - The Empire Strikes Back",7.60,1827
435,19000000.00,"Adventure","Comedy","Science","Fiction","Family","","",5.52,"1985-07-03",381109762.00,"Back to the Future",7.30,1820
9092,175000000.00,"Adventure","Animation","Comedy","Family","","","",5.04,"2009-09-30",731342744.00,"Up",7.10,1810
7848,125000000.00,"Adventure","Fantasy","Family","","","","",7.56,"2011-07-07",1327817822.00,"Harry Potter and the Deathly Hallows: Part 2",7.20,1777
26516,185000000.00,"Action","Adventure","Science","Fiction","","","",7.78,"2013-05-16",467365246.00,"Star Trek Into Darkness",7.40,1733
1061,70000000.00,"Drama","History","War","","","","",3.70,"1998-07-24",481840909.00,"Saving Private Ryan",7.20,1674
804,28000000.00,"Action","Thriller","","","","","",5.68,"1988-07-14",138708852.00,"Die Hard",6.80,1662
1066,30000000.00,"Animation","Comedy","Family","","","","",7.57,"1995-11-21",361958736.00,"Toy Story",7.10,1630
7847,250000000.00,"Adventure","Fantasy","Family","","","","",7.41,"2010-11-19",954305868.00,"Harry Potter and the Deathly Hallows: Part 1",6.90,1585
487,85000000.00,"Action","Comedy","Crime","Thriller","","","",5.70,"2001-12-06",450717150.00,"Ocean's Eleven",6.80,1560
5782,165000000.00,"Animation","","","","","","",5.72,"2010-03-24",494878759.00,"How to Train Your Dragon",7.00,1535
5784,200000000.00,"Animation","Comedy","Family","","","","",5.60,"2010-06-17",1063171911.00,"Toy Story 3",7.20,1526
597,100000000.00,"Action","Science","Fiction","Thriller","","","",7.69,"1991-07-01",520000000.00,"Terminator 2: Judgment Day",7.00,1497
1011,33000000.00,"Crime","Mystery","Thriller","","","","",5.46,"1995-09-22",327311859.00,"Se7en",7.50,1474
